id,original_price,discounted_price
1566,299,299
39342,2199,2199
13182,2499,2499
21762,1695,1440
48692,1525,1509
9340,899,899
52751,125,125
9273,2700,2700
48466,6999,6999
13342,899,404
19815,1999,1999
25994,3650,3650
56566,190,190
51316,1295,841
12200,799,799
33991,390,390
9225,1599,1599
44443,499,374
58560,2799,2799
26551,1985,1985
26792,1799,1799
16623,1599,1599
58196,3999,3999
50585,175,175
27385,760,760
33429,1250,1250
59598,9000,9000
23463,795,795
33995,690,690
50565,219,219
22542,1599,1599
22359,1199,1199
45822,750,562
22471,2490,2490
4250,399,399
27542,1599,1599
46245,1499,1499
14589,1499,1499
32495,1699,1699
59034,3495,3495
11108,1199,1199
41194,1399,1399
59905,450,450
20147,1595,1595
47535,499,499
58256,675,675
54304,449,449
5089,1195,1195
45884,2095,2095
27534,1799,1799
13521,999,999
32471,599,599
54868,1650,1650
28238,172,129
46465,2445,2445
30564,1875,1687
7589,5500,5500
10415,1999,1999
21165,1799,1799
7305,1299,1299
7059,1295,1295
14348,1495,1495
29103,1699,1699
3828,995,995
21612,460,460
14018,2395,2395
50831,1095,876
7315,1499,1499
28479,499,499
25342,199,199
25059,1295,1295
13725,499,399
23280,2095,2095
49241,599,539
24711,3499,3499
28745,450,450
12422,5290,5290
43397,799,799
33445,775,775
33825,2299,2299
50693,239,239
4439,1399,1399
58928,1550,1550
48726,3475,3475
29927,10945,10945
9435,995,995
42833,4299,4299
16401,1799,1799
28105,185,185
56956,1299,1299
59469,5950,5950
34634,1999,1999
43921,490,490
59592,5996,5996
43878,5499,5499
11638,4450,4450
19829,2199,2199
44666,1999,999
49875,1445,1445
54686,949,949
6545,1495,1495
33917,4900,4900
47889,2250,2250
29676,1899,1899
3487,1799,1799
48877,2225,2202
36657,825,825
59444,1999,1999
12196,799,799
9464,1249,1249
4323,275,275
51175,290,145
21050,1999,1999
26525,2000,2000
25083,1295,1295
31451,1595,1595
32305,975,975
13064,1899,1899
43861,895,895
25992,3300,3300
49086,595,595
24078,1295,1295
44122,2950,2950
18800,99,80
32586,1795,1795
39576,1095,1095
54154,490,490
25381,299,299
14337,3895,3895
6591,799,799
6739,1400,1400
28103,149,149
44664,2099,1049
50886,1099,1099
34624,8995,8995
22503,750,750
21935,690,690
23290,2095,2095
9806,1099,1099
42523,699,699
7457,750,600
51436,499,499
31118,199,99
18290,1199,1199
9218,1699,1699
38844,1990,796
29044,999,999
13994,2495,2495
28775,499,499
3913,449,449
15110,1599,1599
9800,1199,1199
40538,3450,3450
8302,5999,5999
9237,519,519
17272,1499,1499
57180,2000,2000
23032,1799,1799
32533,849,551
22133,2485,2485
27382,175,175
44875,799,799
45109,2795,2795
22013,1560,1560
17077,595,595
4269,4200,4200
56705,599,599
10610,1099,1099
34766,599,599
9200,5499,5499
3983,649,649
2272,995,995
46016,660,660
30346,399,399
45386,1190,1190
31996,135,135
52909,1598,1598
5841,1749,1749
30855,530,530
56916,1099,1099
7744,999,999
23524,3975,3975
5769,699,699
45190,2495,2495
20206,1595,1595
1611,2499,2499
2867,499,499
21121,2399,2399
3354,399,399
1948,899,899
15619,1995,1995
44698,1799,899
38884,749,749
27212,799,799
20729,2499,2499
37083,595,595
34636,2199,2199
12494,2199,2199
13325,799,359
30042,8995,8995
9453,999,999
2626,1495,1495
56137,300,240
38643,4595,4595
49826,899,899
54565,1599,1599
49662,3450,3105
49229,795,795
11800,729,729
35442,399,399
13503,499,499
19683,1399,1399
56480,110,110
15962,1995,1995
33166,399,399
43101,799,799
51347,290,145
40737,1690,1690
55116,750,525
24275,1995,1995
6450,1799,1799
29289,1495,1495
48186,9895,9895
45127,2495,2495
35725,1199,899
13765,795,795
18550,1595,1595
44166,998,998
7541,1195,1195
19820,1899,854
52209,2125,2125
4956,999,449
35259,1399,1399
20236,845,845
46106,749,749
22230,2099,2099
14778,1699,1699
16137,311,124
8364,299,299
1731,3599,3599
40055,1399,1399
19335,4199,4199
22227,499,499
42953,2299,1724
12713,4295,4295
42270,2499,2499
57006,1299,1299
49117,595,595
23579,849,849
35095,1299,1299
5093,895,895
29291,1495,1495
7399,2195,2195
7534,1795,1795
22858,2595,2595
17435,3495,3495
7447,399,319
52045,2595,2024
32456,1999,1999
46293,189,189
19071,1099,1099
5410,349,349
2278,1595,1595
12891,3499,3499
58829,6995,6995
33940,2999,2999
18034,2495,2495
31114,799,359
57397,395,395
47213,2495,998
18180,1295,1295
31564,779,779
5001,1099,494
26888,899,899
15933,599,599
17373,1699,1274
39224,650,650
8612,1499,1499
29962,3990,2593
55785,1899,1899
17617,599,599
3573,999,999
57562,275,206
24120,499,274
48140,2500,2500
54487,2495,2495
46407,899,899
34228,499,199
23566,3750,3750
19800,999,999
38445,500,500
14148,695,625
5042,1799,1799
16425,999,999
6815,6990,6990
13827,1499,1499
8147,1039,519
17654,1195,1195
48989,1150,1150
49913,1145,1145
54915,595,595
28744,450,450
24518,999,999
55274,450,405
3534,399,399
31732,3995,3995
3789,699,699
3816,329,329
17693,3599,3599
44205,899,899
6372,799,799
44887,1299,1299
29231,1299,1299
5121,695,695
43398,599,599
3685,499,499
42618,2499,2499
40576,1299,1299
20777,1795,1795
23049,1399,1399
14081,1399,1399
2897,1495,1495
53043,2666,2666
4474,6499,6499
49595,1395,1395
8611,1499,1499
51317,5699,5699
18764,1399,699
50220,425,425
14462,2499,2499
46637,199,199
5792,999,999
5448,1095,1095
37723,799,799
7101,1499,599
11808,699,699
4380,599,419
15721,6995,6995
40785,1195,1195
31839,3250,3250
9260,519,519
9457,899,899
24468,2385,2385
19394,2599,2599
56817,949,949
37439,995,895
42874,3999,3999
6866,1400,1400
9357,349,349
51345,290,145
32255,730,730
13262,699,349
55500,525,525
13476,1090,1090
15733,5995,5995
33393,2200,2200
46941,449,449
23884,2799,2799
6708,1399,1399
44635,1095,1095
20604,2300,2277
15846,1499,1499
44568,699,699
59544,1050,1050
44202,599,599
36984,995,995
8866,519,519
27002,1799,1799
41665,519,519
31689,4295,4295
50902,1299,1299
42134,5295,5295
3951,699,699
46536,6945,6945
23172,324,324
44631,1995,1995
15099,899,899
13924,3395,3395
23517,2995,2995
46714,1195,1195
13353,4390,4390
38237,3661,2855
7376,2195,2195
2827,2585,2585
55331,350,350
44458,799,599
18059,695,695
28509,1895,1895
30354,399,399
12882,2299,2299
3609,1399,1399
47276,699,699
40136,399,199
8868,519,519
8815,1799,1799
33253,399,199
40187,499,499
40649,939,939
41274,1095,985
4451,895,895
32031,375,375
30143,599,599
1540,2799,2799
14120,999,499
23588,249,249
12214,1399,1399
21571,2299,2299
28534,1995,1995
25589,1699,1699
46717,950,950
39684,2399,2399
59687,800,400
29001,649,649
57357,995,597
29012,1299,1299
13833,1899,1899
21034,2999,2999
31562,779,779
4134,2299,2299
19348,1899,1899
8273,379,379
12719,599,599
2807,2685,2685
15462,3499,3499
16892,8350,7515
28290,1699,1036
33836,3999,3999
15976,1295,1295
6625,2599,2599
19920,1195,776
12381,1595,1595
30933,890,890
45107,595,595
5981,1039,415
48388,3499,3499
41587,1399,1399
23270,2095,2095
11811,599,599
8086,3699,3699
59743,750,375
14326,1299,1299
25626,1795,1795
3616,1700,1700
41312,799,359
21287,3250,2405
15470,1999,1999
18694,245,245
4085,499,499
44547,999,999
7481,1095,1095
11425,899,899
33703,5299,5299
57983,1390,556
52670,10150,10150
22662,1695,1695
46586,1495,1495
14878,4699,4699
24631,1299,1299
15269,2999,2999
42836,3299,3299
59504,3275,3275
11547,999,999
34076,2999,2999
26434,1095,1095
10101,2999,2999
33247,1799,1799
30626,1495,1495
38456,1025,1025
54697,299,299
40286,599,599
20949,599,599
16102,1550,1162
58972,795,715
25079,1695,1695
42945,1499,1124
18207,699,699
3664,1799,1799
34581,1850,1850
13980,2299,2299
27665,1650,1650
29413,5950,5950
33181,799,799
48914,1800,1800
57084,1800,1800
6825,3690,3690
10762,179,179
37067,595,595
56248,1499,1499
44278,1350,1350
45845,549,549
51039,275,275
25351,225,225
4797,699,699
7493,995,995
27110,1599,1599
7237,8499,8499
14840,1699,594
4487,2199,2199
37730,899,899
17984,1899,949
23045,899,539
9335,999,999
33730,795,795
11970,649,454
37680,1420,994
31598,389,389
51437,399,399
14104,699,699
8986,3999,3999
23131,649,649
44867,799,799
39719,1099,1099
41989,799,359
7202,899,899
